PRISM Time Series Data,,,,,,,,,,
Locations: 58,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax",,,,,,,,,,
Alameda,-121.9133,37.6481,587,2015-01,0,39.5,49.9,60.4,0.87,9.57
Alameda,-121.9133,37.6481,587,2015-02,3.3,45,55.5,65.9,1.13,11.92
Alameda,-121.9133,37.6481,587,2015-03,0.31,45.9,58.4,70.9,1.29,16.74
Alameda,-121.9133,37.6481,587,2015-04,1.66,45.3,57.5,69.6,1.42,16.52
Alameda,-121.9133,37.6481,587,2015-05,0.45,49.9,59.3,68.6,1.76,13.26
Alameda,-121.9133,37.6481,587,2015-06,0.25,54.6,69.1,83.5,1.95,28.02
Alameda,-121.9133,37.6481,587,2015-07,0.01,58.8,71.5,84.2,2.72,27.48
Alameda,-121.9133,37.6481,587,2015-08,0,58.3,71.5,84.7,2.38,28.64
Alameda,-121.9133,37.6481,587,2015-09,0,56.7,71.5,86.4,4.08,34.6
Alameda,-121.9133,37.6481,587,2015-10,0.03,54.3,67.7,81.1,2.37,25.19
Alameda,-121.9133,37.6481,587,2015-11,2.48,40.8,51.6,62.3,1.04,11.35
Alameda,-121.9133,37.6481,587,2015-12,4.69,38.4,46.9,55.5,0.68,6.77
Alameda,-121.9133,37.6481,587,2016-01,5.72,43.2,49.8,56.4,0.56,5.59
Alameda,-121.9133,37.6481,587,2016-02,1.11,43.1,54.4,65.6,1.01,12.19
Alameda,-121.9133,37.6481,587,2016-03,7.47,45.4,54.9,64.5,0.77,10.31
Alameda,-121.9133,37.6481,587,2016-04,1.93,48.2,58.9,69.7,1.53,14.91
Alameda,-121.9133,37.6481,587,2016-05,0.26,51.4,62.4,73.5,1.82,17.15
Alameda,-121.9133,37.6481,587,2016-06,0,54.1,69.1,84.1,3.1,30.76
Alameda,-121.9133,37.6481,587,2016-07,0,55.3,71,86.7,2.85,32.79
Alameda,-121.9133,37.6481,587,2016-08,0,55.1,69.8,84.6,1.81,28.3
Alameda,-121.9133,37.6481,587,2016-09,0,53.7,68.8,83.8,3.04,30.41
Alameda,-121.9133,37.6481,587,2016-10,4.95,51.2,62,72.7,1.78,17.16
Alameda,-121.9133,37.6481,587,2016-11,1.55,45.7,55.5,65.3,0.74,10.41
Alameda,-121.9133,37.6481,587,2016-12,4.28,38,46.9,55.8,0.81,7.35
Alameda,-121.9133,37.6481,587,2017-01,11.67,38.9,46.2,53.5,0.52,5.47
Alameda,-121.9133,37.6481,587,2017-02,10.42,44,51.4,58.8,0.6,6.99
Alameda,-121.9133,37.6481,587,2017-03,3.06,44.6,55,65.4,0.94,12.37
Alameda,-121.9133,37.6481,587,2017-04,3.39,46.2,56.5,66.9,1.37,13.76
Alameda,-121.9133,37.6481,587,2017-05,0.03,50.4,62.9,75.5,2.13,20.13
Alameda,-121.9133,37.6481,587,2017-06,0.01,54.5,68.1,81.7,2.29,25.6
Alameda,-121.9133,37.6481,587,2017-07,0,56.1,72.6,89.1,3.24,35.78
Alameda,-121.9133,37.6481,587,2017-08,0,57.9,71.9,85.8,2.75,29.49
Alameda,-121.9133,37.6481,587,2017-09,0.04,57.4,70.8,84.2,3.41,29.93
Alameda,-121.9133,37.6481,587,2017-10,0.22,48.9,63.8,78.7,2.76,26.58
Alameda,-121.9133,37.6481,587,2017-11,3.2,46.2,55.4,64.7,0.72,10.38
Alameda,-121.9133,37.6481,587,2017-12,0.09,36.6,48.5,60.4,1.62,12.05
Alameda,-121.9133,37.6481,587,2018-01,4.36,42.2,50.3,58.4,0.43,6.45
Alameda,-121.9133,37.6481,587,2018-02,0.45,39,51.1,63.2,1.5,14.57
Alameda,-121.9133,37.6481,587,2018-03,5.63,41.1,51.2,61.2,0.81,10.23
Alameda,-121.9133,37.6481,587,2018-04,2.74,45.2,56.8,68.4,0.94,14.46
Alameda,-121.9133,37.6481,587,2018-05,0,49.5,60,70.6,1.46,14.66
Alameda,-121.9133,37.6481,587,2018-06,0,51.8,66.2,80.7,1.75,24.9
Alameda,-121.9133,37.6481,587,2018-07,0,56.8,72.6,88.4,2.2,33.17
Alameda,-121.9133,37.6481,587,2018-08,0,55.8,69.8,83.9,2.53,27.96
Alameda,-121.9133,37.6481,587,2018-09,0,52.5,67.6,82.7,1.78,27.48
Alameda,-121.9133,37.6481,587,2018-10,0.21,50.2,63.9,77.6,1.78,22.18
Alameda,-121.9133,37.6481,587,2018-11,3.58,44.1,56,67.9,2.42,16.22
Alameda,-121.9133,37.6481,587,2018-12,2.3,40.5,48.9,57.3,0.46,7.01
Alameda,-121.9133,37.6481,587,2019-01,4.66,41.8,50.3,58.8,0.66,7.63
Alameda,-121.9133,37.6481,587,2019-02,8.52,39,46.6,54.3,0.58,6.3
Alameda,-121.9133,37.6481,587,2019-03,4.08,42.7,51.7,60.7,0.72,9.17
Alameda,-121.9133,37.6481,587,2019-04,0.48,48.1,59.5,70.9,0.95,15.03
Alameda,-121.9133,37.6481,587,2019-05,2.27,49.1,58.6,68.1,0.93,12.07
Alameda,-121.9133,37.6481,587,2019-06,0,54.3,68.6,82.9,2.29,26.27
Alameda,-121.9133,37.6481,587,2019-07,0,55.5,69.9,84.3,1.54,27.56
Alameda,-121.9133,37.6481,587,2019-08,0,58.7,73.2,87.7,2.65,31.01
Alameda,-121.9133,37.6481,587,2019-09,0.23,55.3,68.9,82.4,2.09,26.36
Alameda,-121.9133,37.6481,587,2019-10,0,47.2,62,76.7,3.58,25.02
Alameda,-121.9133,37.6481,587,2019-11,1.24,42.8,55.7,68.6,1.59,16.77
Alameda,-121.9133,37.6481,587,2019-12,3.81,43.2,50.2,57.2,0.36,5.81
Alameda,-121.9133,37.6481,587,2020-01,1.41,39.1,48.1,57,0.25,6.45
Alameda,-121.9133,37.6481,587,2020-02,0,40.3,52.8,65.4,1.46,14.49
Alameda,-121.9133,37.6481,587,2020-03,2.3,42.6,51.6,60.5,0.82,9.77
Alameda,-121.9133,37.6481,587,2020-04,1.61,46.6,57.3,68,0.89,13.16
Alameda,-121.9133,37.6481,587,2020-05,0.98,51,64.1,77.2,1.81,22.33
Alameda,-121.9133,37.6481,587,2020-06,0,54,67.9,81.8,1.97,26.31
Alameda,-121.9133,37.6481,587,2020-07,0,54.7,70.3,85.8,1.63,29.94
Alameda,-121.9133,37.6481,587,2020-08,0.14,60.3,75.4,90.6,3.77,36.21
Alameda,-121.9133,37.6481,587,2020-09,0,57.6,72,86.3,2.78,30.96
Alameda,-121.9133,37.6481,587,2020-10,0,54.1,69.1,84.1,4.53,32.71
Alameda,-121.9133,37.6481,587,2020-11,0.89,41.4,53.3,65.2,1.42,14.32
,,,,,,,,,,
Alpine,-119.799,38.6176,7736,2013-01,1.65,16.4,28,39.5,1.02,6.07
Alpine,-119.799,38.6176,7736,2013-02,0.59,16.8,29,41.1,0.91,6.73
Alpine,-119.799,38.6176,7736,2013-03,2.58,25.5,37,48.4,1.38,9.05
Alpine,-119.799,38.6176,7736,2013-04,2.08,27.3,39.7,52.1,1.71,11.24
Alpine,-119.799,38.6176,7736,2013-05,2.19,33.3,45.2,57.2,2.89,13.55
Alpine,-119.799,38.6176,7736,2013-06,0.75,41.8,55.4,69.1,5.18,20.32
Alpine,-119.799,38.6176,7736,2013-07,1.74,52.6,64.9,77.2,7.52,26.54
Alpine,-119.799,38.6176,7736,2013-08,0.41,47.1,59.6,72,6.45,22.55
Alpine,-119.799,38.6176,7736,2013-09,0.69,42.1,54.1,66,3.26,17.19
Alpine,-119.799,38.6176,7736,2013-10,0.98,30.5,42.7,54.9,2.68,12.09
Alpine,-119.799,38.6176,7736,2013-11,1,26.9,37.3,47.7,1.61,8.09
Alpine,-119.799,38.6176,7736,2013-12,2.34,18.5,30.7,43,1.66,7.78
Alpine,-119.799,38.6176,7736,2014-01,3.13,25.5,36.6,47.6,2.02,8.72
Alpine,-119.799,38.6176,7736,2014-02,8.47,22.7,32.7,42.7,1.09,6.39
Alpine,-119.799,38.6176,7736,2014-03,4.77,24.1,34.8,45.6,1.28,7.69
Alpine,-119.799,38.6176,7736,2014-04,2.63,26.5,38.9,51.2,1.7,10.29
Alpine,-119.799,38.6176,7736,2014-05,1.65,33.5,45.9,58.2,3.68,14.34
Alpine,-119.799,38.6176,7736,2014-06,0.02,42.6,55.5,68.5,6.44,20.78
Alpine,-119.799,38.6176,7736,2014-07,1.4,51.7,64.5,77.2,6.75,25.3
Alpine,-119.799,38.6176,7736,2014-08,1.02,48.6,60.1,71.6,4.33,20.23
Alpine,-119.799,38.6176,7736,2014-09,1.82,45.8,57.2,68.5,4.8,19.02
Alpine,-119.799,38.6176,7736,2014-10,0.85,36.5,49.3,62.2,4.3,15.82
Alpine,-119.799,38.6176,7736,2014-11,2.48,29,39.2,49.3,2.18,8.73
Alpine,-119.799,38.6176,7736,2014-12,5.82,23.5,31.1,38.8,0.7,4.18
Alpine,-119.799,38.6176,7736,2015-01,0.26,24.9,35.5,46.2,1.27,7.48
Alpine,-119.799,38.6176,7736,2015-02,5.61,27.2,38.2,49.2,1.94,9.69
Alpine,-119.799,38.6176,7736,2015-03,1.24,27.7,39.4,51.1,2.28,10.59
Alpine,-119.799,38.6176,7736,2015-04,2.72,26.2,38.3,50.4,2.15,10.54
Alpine,-119.799,38.6176,7736,2015-05,3.35,33.5,43.8,54,2.03,10.25
Alpine,-119.799,38.6176,7736,2015-06,1.06,45.1,58,70.8,5.84,21.18
Alpine,-119.799,38.6176,7736,2015-07,2.26,47.1,58.8,70.5,5.28,18.92
Alpine,-119.799,38.6176,7736,2015-08,0.25,50.2,62.5,74.9,7.28,24.17
Alpine,-119.799,38.6176,7736,2015-09,0.36,45.5,57.8,70.1,6.74,21.3
Alpine,-119.799,38.6176,7736,2015-10,2.68,37.9,48.5,59.1,2.42,12.16
Alpine,-119.799,38.6176,7736,2015-11,5.21,21.1,31.2,41.3,1.16,6.23
Alpine,-119.799,38.6176,7736,2015-12,9.07,17.8,26.7,35.5,0.93,4.32
Alpine,-119.799,38.6176,7736,2016-01,8.76,19.1,28.3,37.6,0.66,4.64
Alpine,-119.799,38.6176,7736,2016-02,2.47,23.4,36,48.5,1.87,9.17
Alpine,-119.799,38.6176,7736,2016-03,8.47,25.2,35,44.9,1.27,6.95
Alpine,-119.799,38.6176,7736,2016-04,3.12,28.6,40.2,51.8,1.57,9.7
Alpine,-119.799,38.6176,7736,2016-05,1.78,32.2,43.5,54.8,1.94,10.71
Alpine,-119.799,38.6176,7736,2016-06,0.04,44.1,56.9,69.8,6.36,20.83
Alpine,-119.799,38.6176,7736,2016-07,0,49.8,62.8,75.7,8.78,26.12
Alpine,-119.799,38.6176,7736,2016-08,0.28,50.6,63.5,76.5,8.65,26.64
Alpine,-119.799,38.6176,7736,2016-09,0.38,43.8,55.8,67.9,5.64,19.4
Alpine,-119.799,38.6176,7736,2016-10,9.86,34.4,44.5,54.5,2.24,10.6
Alpine,-119.799,38.6176,7736,2016-11,2.49,28.3,38.2,48.1,1.98,8.64
Alpine,-119.799,38.6176,7736,2016-12,7.08,19.8,29.3,38.8,1.01,5.32
Alpine,-119.799,38.6176,7736,2017-01,24.86,16.6,25.4,34.1,0.51,3.39
Alpine,-119.799,38.6176,7736,2017-02,17.36,20.9,29.1,37.3,0.59,3.82
Alpine,-119.799,38.6176,7736,2017-03,5.19,24.6,36.1,47.5,1.62,8.37
Alpine,-119.799,38.6176,7736,2017-04,7.76,24.9,35.8,46.8,1.38,7.69
Alpine,-119.799,38.6176,7736,2017-05,1.46,33.2,45.9,58.5,3.06,13.71
Alpine,-119.799,38.6176,7736,2017-06,0.31,41.3,54.6,67.9,5.07,19.56
Alpine,-119.799,38.6176,7736,2017-07,0.08,51.7,64.5,77.2,8.26,25.73
Alpine,-119.799,38.6176,7736,2017-08,1.35,51,63.2,75.4,6.19,23.21
Alpine,-119.799,38.6176,7736,2017-09,2.83,41.8,52.6,63.5,3.62,15.64
Alpine,-119.799,38.6176,7736,2017-10,0.52,32.4,45.7,59,3.16,13.69
Alpine,-119.799,38.6176,7736,2017-11,8.49,30.3,38.7,47.1,1.61,7.44
Alpine,-119.799,38.6176,7736,2017-12,0.71,24.2,35.4,46.6,2.45,9.27
Alpine,-119.799,38.6176,7736,2018-01,4.2,25.3,34.5,43.7,1.27,6.4
Alpine,-119.799,38.6176,7736,2018-02,1.62,17.1,28.6,40.2,1.3,7.22
Alpine,-119.799,38.6176,7736,2018-03,14.55,19,29.1,39.1,0.89,5.14
Alpine,-119.799,38.6176,7736,2018-04,3.45,27.2,39.5,51.8,1.82,10.36
Alpine,-119.799,38.6176,7736,2018-05,1.64,34.6,45.7,56.9,2,11.56
Alpine,-119.799,38.6176,7736,2018-06,0,43.5,56.6,69.7,6.24,20.76
Alpine,-119.799,38.6176,7736,2018-07,0.61,53.9,66.2,78.5,9.04,26.63
Alpine,-119.799,38.6176,7736,2018-08,0.06,52.4,64.5,76.6,8.82,25.98
Alpine,-119.799,38.6176,7736,2018-09,0.05,45.8,58,70.2,7.7,21.98
Alpine,-119.799,38.6176,7736,2018-10,0.71,32.4,44,55.7,2.36,11.25
Alpine,-119.799,38.6176,7736,2018-11,5.7,28.4,39.1,49.8,2.52,9.68
Alpine,-119.799,38.6176,7736,2018-12,2.79,19.9,29.5,39.2,0.88,5.18
Alpine,-119.799,38.6176,7736,2019-01,9.15,20.7,30,39.3,0.77,4.84
Alpine,-119.799,38.6176,7736,2019-02,15.96,12.9,22.2,31.6,0.38,2.49
Alpine,-119.799,38.6176,7736,2019-03,6.85,20.4,30.2,39.9,0.79,4.94
Alpine,-119.799,38.6176,7736,2019-04,2.06,28.3,39.9,51.4,1.5,9.67
Alpine,-119.799,38.6176,7736,2019-05,3.28,29.4,40.6,51.7,1.53,9.29
Alpine,-119.799,38.6176,7736,2019-06,0.64,38.6,52.2,65.8,3.47,16.89
Alpine,-119.799,38.6176,7736,2019-07,0.41,47.7,60.2,72.7,5.99,21.52
Alpine,-119.799,38.6176,7736,2019-08,0.12,50,62.8,75.7,7.07,24.37
Alpine,-119.799,38.6176,7736,2019-09,0.85,40.9,52.8,64.8,4.05,16.46
Alpine,-119.799,38.6176,7736,2019-10,0.14,27.7,41.3,55,2.98,12.04
Alpine,-119.799,38.6176,7736,2019-11,2.39,27.8,39,50.2,3.12,10.5
Alpine,-119.799,38.6176,7736,2019-12,10.21,20.8,28.5,36.2,0.79,3.17
Alpine,-119.799,38.6176,7736,2020-01,2.11,19.8,30.1,40.4,0.95,5.73
Alpine,-119.799,38.6176,7736,2020-02,0.21,20.3,32.5,44.8,1.65,8.54
Alpine,-119.799,38.6176,7736,2020-03,6.55,19.1,29.1,39,0.71,5.02
Alpine,-119.799,38.6176,7736,2020-04,3.68,27,38.9,50.8,1.57,9.45
Alpine,-119.799,38.6176,7736,2020-05,1.7,33.3,46,58.6,3.5,13.88
Alpine,-119.799,38.6176,7736,2020-06,0.63,38.7,52.5,66.4,3.59,17.82
Alpine,-119.799,38.6176,7736,2020-07,0.53,49.2,62.5,75.9,7.83,25.23
Alpine,-119.799,38.6176,7736,2020-08,0.41,53,65.7,78.4,8.2,26.95
Alpine,-119.799,38.6176,7736,2020-09,0.21,47.9,60.2,72.5,8.46,23.47
Alpine,-119.799,38.6176,7736,2020-10,0,39.2,52.3,65.4,5.78,18.92
Alpine,-119.799,38.6176,7736,2020-11,3.68,25.9,36.9,47.8,1.99,9.07
,,,,,,,,,,
Amador,-120.6539,38.4436,2503,2013-01,1.28,33.9,43.7,53.5,1.48,8.16
Amador,-120.6539,38.4436,2503,2013-02,0.75,34.6,44.9,55.3,1.48,9.13
Amador,-120.6539,38.4436,2503,2013-03,2.8,41.3,52.4,63.4,1.55,12.3
Amador,-120.6539,38.4436,2503,2013-04,1.48,44.4,56.4,68.4,2.2,15.77
Amador,-120.6539,38.4436,2503,2013-05,0.79,49.1,61.8,74.5,3.13,21.01
Amador,-120.6539,38.4436,2503,2013-06,0.75,55.2,69.5,83.9,4.51,29.99
Amador,-120.6539,38.4436,2503,2013-07,0,63,77.8,92.7,9.59,40.55
Amador,-120.6539,38.4436,2503,2013-08,0,58.9,73.4,87.9,7.63,35.56
Amador,-120.6539,38.4436,2503,2013-09,1.22,54.7,67.9,81.1,5.08,27.67
Amador,-120.6539,38.4436,2503,2013-10,0.14,47.3,60,72.7,5.07,21.66
Amador,-120.6539,38.4436,2503,2013-11,1.43,42.7,53.5,64.2,3.17,14.55
Amador,-120.6539,38.4436,2503,2013-12,0.71,35.4,46.1,56.8,2.63,11.49
Amador,-120.6539,38.4436,2503,2014-01,1.24,42.1,52.9,63.7,4.21,15.2
Amador,-120.6539,38.4436,2503,2014-02,10.74,40.1,48.5,56.9,1.21,8.47
Amador,-120.6539,38.4436,2503,2014-03,5.54,42.7,52.6,62.5,2.33,11.97
Amador,-120.6539,38.4436,2503,2014-04,3.02,43.4,55.1,66.8,2.18,14.74
Amador,-120.6539,38.4436,2503,2014-05,0.5,49.3,62.4,75.6,3.86,22.35
Amador,-120.6539,38.4436,2503,2014-06,0,54.8,70,85.2,6.22,34.12
Amador,-120.6539,38.4436,2503,2014-07,0,63.9,77.7,91.5,9.66,40.19
Amador,-120.6539,38.4436,2503,2014-08,0.03,61.9,75.2,88.6,8.05,35.78
Amador,-120.6539,38.4436,2503,2014-09,0.9,58.7,72,85.3,7.52,32.81
Amador,-120.6539,38.4436,2503,2014-10,0.93,52.2,64.7,77.2,5.34,24.8
Amador,-120.6539,38.4436,2503,2014-11,3.27,43.6,53.1,62.6,2.22,11.62
Amador,-120.6539,38.4436,2503,2014-12,10.29,40.3,47,53.7,0.71,6.05
Amador,-120.6539,38.4436,2503,2015-01,0.06,40.5,49.9,59.3,2.11,10.29
Amador,-120.6539,38.4436,2503,2015-02,7.1,43.9,53.8,63.6,2.22,12.32
Amador,-120.6539,38.4436,2503,2015-03,0.96,44.8,56.1,67.4,2.42,14.78
Amador,-120.6539,38.4436,2503,2015-04,3.36,42.6,54.5,66.4,2.08,14.75
Amador,-120.6539,38.4436,2503,2015-05,1.04,47,59.1,71.1,1.97,17.2
Amador,-120.6539,38.4436,2503,2015-06,0.04,58,72.7,87.4,6.55,35.7
Amador,-120.6539,38.4436,2503,2015-07,0.07,61.3,74.9,88.4,7.52,35.64
Amador,-120.6539,38.4436,2503,2015-08,0,60.6,75,89.5,8.19,38.08
Amador,-120.6539,38.4436,2503,2015-09,0,58.5,72,85.6,9.33,35.58
Amador,-120.6539,38.4436,2503,2015-10,2.05,54.5,65.7,76.9,5.07,22.66
Amador,-120.6539,38.4436,2503,2015-11,5.6,38.1,47.6,57.2,1.54,9.57
Amador,-120.6539,38.4436,2503,2015-12,9.11,34.3,42,49.8,0.84,5.9
Amador,-120.6539,38.4436,2503,2016-01,10.32,38.4,45.1,51.9,0.65,5.82
Amador,-120.6539,38.4436,2503,2016-02,1.71,41.4,51.8,62.2,2.3,12.8
Amador,-120.6539,38.4436,2503,2016-03,10.95,41.7,50.7,59.6,1.05,9.14
Amador,-120.6539,38.4436,2503,2016-04,3.55,44.6,55.5,66.3,1.73,12.99
Amador,-120.6539,38.4436,2503,2016-05,0.86,48.6,60.1,71.7,2.48,17.39
Amador,-120.6539,38.4436,2503,2016-06,0,56.6,71.5,86.3,6.71,35.5
Amador,-120.6539,38.4436,2503,2016-07,0,60.5,75.6,90.7,9.55,41.4
Amador,-120.6539,38.4436,2503,2016-08,0,61.6,76.1,90.6,10.13,40.73
Amador,-120.6539,38.4436,2503,2016-09,0,55.7,69.8,84,7.55,32.63
Amador,-120.6539,38.4436,2503,2016-10,9.59,48.6,59.1,69.6,2.95,16.1
Amador,-120.6539,38.4436,2503,2016-11,4.29,43.2,52.4,61.6,2.07,11.5
Amador,-120.6539,38.4436,2503,2016-12,7.16,35.7,43.8,51.8,0.72,6.56
Amador,-120.6539,38.4436,2503,2017-01,21.15,35.1,41.4,47.8,0.59,4.29
Amador,-120.6539,38.4436,2503,2017-02,17.83,40,46.8,53.5,1.21,6.37
Amador,-120.6539,38.4436,2503,2017-03,4.94,41.2,51.1,60.9,1.69,10.96
Amador,-120.6539,38.4436,2503,2017-04,5.66,41.9,51.7,61.4,1.55,10.86
Amador,-120.6539,38.4436,2503,2017-05,0.34,49.3,62,74.6,3.33,20.34
Amador,-120.6539,38.4436,2503,2017-06,0.54,56.9,70.7,84.4,5.6,31.16
Amador,-120.6539,38.4436,2503,2017-07,0,64.3,79,93.8,10.61,44.83
Amador,-120.6539,38.4436,2503,2017-08,0,65.2,78.9,92.6,9.38,40.86
Amador,-120.6539,38.4436,2503,2017-09,0.07,56.9,70.3,83.7,6.39,30.97
Amador,-120.6539,38.4436,2503,2017-10,0.48,49.1,62.8,76.5,5.97,24.86
Amador,-120.6539,38.4436,2503,2017-11,8.14,44,52.4,60.8,1.61,9.31
Amador,-120.6539,38.4436,2503,2017-12,0.8,39.3,49.5,59.6,2.97,12.72
Amador,-120.6539,38.4436,2503,2018-01,5.9,41.4,49.8,58.1,1.58,8.64
Amador,-120.6539,38.4436,2503,2018-02,1.12,36.9,47.2,57.5,2.11,10.91
Amador,-120.6539,38.4436,2503,2018-03,12.66,37.6,46.7,55.8,1.36,8.28
Amador,-120.6539,38.4436,2503,2018-04,4.08,42.7,54.1,65.4,1.98,13.73
Amador,-120.6539,38.4436,2503,2018-05,0.58,48,60.5,73,1.65,17.38
Amador,-120.6539,38.4436,2503,2018-06,0,54.2,69.1,84.1,5.17,31.41
Amador,-120.6539,38.4436,2503,2018-07,0,65.8,79.8,93.9,10.33,43.47
Amador,-120.6539,38.4436,2503,2018-08,0,61.6,75.9,90.2,9.77,40
Amador,-120.6539,38.4436,2503,2018-09,0,57.5,71.7,85.9,8.9,35.32
Amador,-120.6539,38.4436,2503,2018-10,0.65,51.4,63.2,75,5.2,21.54
Amador,-120.6539,38.4436,2503,2018-11,5.96,46.1,55.5,64.8,5,15.43
Amador,-120.6539,38.4436,2503,2018-12,3.33,38,45.8,53.6,0.95,7.13
Amador,-120.6539,38.4436,2503,2019-01,8.35,40.4,48.1,55.7,1.23,7.82
Amador,-120.6539,38.4436,2503,2019-02,14.95,33.1,40.3,47.6,0.76,4.78
Amador,-120.6539,38.4436,2503,2019-03,8.07,39.3,47.5,55.8,1.23,7.74
Amador,-120.6539,38.4436,2503,2019-04,2.41,46.4,57.2,68.1,2.08,14
Amador,-120.6539,38.4436,2503,2019-05,7.61,46.1,56.6,67.1,1.28,12.71
Amador,-120.6539,38.4436,2503,2019-06,0.01,57.2,70.6,84,4.63,28.14
Amador,-120.6539,38.4436,2503,2019-07,0,62.7,75.9,89.1,7.43,35.53
Amador,-120.6539,38.4436,2503,2019-08,0,63.2,77.1,91.1,7.56,38.28
Amador,-120.6539,38.4436,2503,2019-09,1.55,56,69.2,82.5,5.45,29.3
Amador,-120.6539,38.4436,2503,2019-10,0.04,47.4,60.4,73.4,5.33,23.07
Amador,-120.6539,38.4436,2503,2019-11,1.87,45.3,55.6,65.9,4.46,16.84
Amador,-120.6539,38.4436,2503,2019-12,8.88,39.6,46.4,53.3,0.9,6.41
Amador,-120.6539,38.4436,2503,2020-01,3.11,38,45.9,53.8,0.65,6.64
Amador,-120.6539,38.4436,2503,2020-02,0.02,40.2,51.1,61.9,2.88,12.86
Amador,-120.6539,38.4436,2503,2020-03,8.7,38.9,47.8,56.6,1.14,8.75
Amador,-120.6539,38.4436,2503,2020-04,3.87,44.5,54.7,65,1.69,12.42
Amador,-120.6539,38.4436,2503,2020-05,2.72,50.2,62.6,75.1,3.17,21.58
Amador,-120.6539,38.4436,2503,2020-06,0.01,55.5,69.6,83.6,5.1,30.03
Amador,-120.6539,38.4436,2503,2020-07,0,62.7,76.8,90.8,8.86,38.59
Amador,-120.6539,38.4436,2503,2020-08,0,66.5,79.7,92.9,11.02,42.13
Amador,-120.6539,38.4436,2503,2020-09,0,62.7,75.6,88.5,10.16,36.49
Amador,-120.6539,38.4436,2503,2020-10,0,57.2,69.6,82.1,9.84,31.38
Amador,-120.6539,38.4436,2503,2020-11,2.56,41.9,51.8,61.6,3.42,13.6
,,,,,,,,,,
Butte,-121.6019,39.666,676,2013-01,0.88,33.8,45.8,57.8,1.1,10.37
Butte,-121.6019,39.666,676,2013-02,0.98,36.4,49.7,63,1.6,13.68
Butte,-121.6019,39.666,676,2013-03,2.53,43.4,56.3,69.3,1.66,16.64
Butte,-121.6019,39.666,676,2013-04,0.86,48.3,61.9,75.5,3.03,22.73
Butte,-121.6019,39.666,676,2013-05,0.35,53.6,67,80.5,4.38,27.67
Butte,-121.6019,39.666,676,2013-06,1.26,58.7,73.8,88.9,4.85,37.7
Butte,-121.6019,39.666,676,2013-07,0,64,80.1,96.2,7.84,47.63
Butte,-121.6019,39.666,676,2013-08,0,61.7,76.9,92,6.97,41.52
