"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"10055","Bald Mountain Volunteer Fire Protection District","41967 Auberry RD",,"Auberry","CA","93602-9783","41967 Auberry RD",,,"Auberry","CA","93602-9783","559-855-8443","559-855-8443","019","Volunteer",,,"1","0","9","0","0","0","Yes"
"36250","Baldwin Lake Volunteer Fire Department","45360 Lucky Baldwin Ranch RD","PO Box 2080","Baldwin Lake","CA","92314",,,"PO Box 2080","Baldwin Lake","CA","92314","951-675-1000",,"071","Volunteer",,,"1","0","22","0","0","5",
"33005","Banning Fire Service","172 N Murray ST",,"Banning","CA","92220","172 N Murray ST",,"PO Box 998","Banning","CA","92220","951-922-3230",,"065","Mostly volunteer",,,"2","10","0","20","0","1",
"37007","Barona Fire Department","1112 Barona RD",,"Lakeside","CA","92040-1540","1112 Barona RD",,,"Lakeside","CA","92040-1540","619-390-2794","619-390-0730","073","Career",,"https://www.baronafire.com/","1","23","0","0","1","0","Yes"
"36035","Barstow Fire Protection District","861 Barstow RD",,"Barstow","CA","92311","861 Barstow RD",,,"Barstow","CA","92311","760-256-2254","760-256-5314","071","Mostly volunteer",,,"3","17","6","25","2","0",
"01795","Bayer Fire Department","800 Dwight Way",,"Berkeley","CA","94701",,,"PO Box 1986","Berkeley","CA","94701-1986","510-705-5604",,"001","Volunteer",,,"1","0","21","0","0","0","No"
"06040","Bear Valley - Indian Valley Fire Department","5122 E Paris RD",,"Stonyford","CA","95979",,,"PO Box 111","Stonyford","CA","95979","530-963-3123","530-963-3213","011","Volunteer",,,"2","0","19","0","0","3",
"02008","Bear Valley Fire Department","88 Bear Valley RD",,"Bear Valley","CA","95223",,,"PO Box 5103","Bear Valley","CA","95223-5103","209-753-2321","209-753-6517","003","Mostly volunteer",,,"1","3","15","0","1","0","No"
"33010","Beaumont Fire Service","PO Box 998",,"Banning","CA","92220","628 Maple ST",,"PO Box 998","Beaumont","CA","92223","951-845-3718",,"065","Mostly volunteer",,,"1","9","0","20","0","0",
"32005","Beckwourth Volunteer Fire Department","180 Main ST",,"Beckwourth","CA","96129-1029","180 Main ST",,,"Beckwourth","CA","96129-1029","530-832-1008",,"063","Career",,"https://www.beckwourthfire.com/","1","14","0","0","0","0",
"12010","Beginnings Volunteer Fire Department","4700 Briceland Thorn RD","PO Box 1090","Redway","CA","95560","4700 Briceland Thorn RD",,"PO Box 1090","Redway","CA","95560","000-000-0000",,"023","Volunteer",,,"1","0","12","0","0","2",
"44015","Ben Lomond Fire Protection District","9430 Highway 9",,"Ben Lomond","CA","95005",,,"PO Box 27","Ben Lomond","CA","95005-0027","831-336-5495","831-336-0300","087","Mostly volunteer",,"https://benlomondfd.com/","1","1","30","30","1","0","Yes"
"48005","Benicia Fire Department","150 Military West",,"Benicia","CA","94510","250 E L ST",,,"Benicia","CA","94510-3239","707-746-4275","707-745-4425","095","Mostly career",,"https://www.ci.benicia.ca.us/","2","35","12","0","3","1","Yes"
"49160","Bennett Valley Fire Protection District","6161 Bennett Valley RD",,"Santa Rosa","CA","95404-9583","6161 Bennett Valley RD",,,"Santa Rosa","CA","95404","707-578-8471","707-578-7784","097","Mostly volunteer",,,"1","10","19","0","2","0",
"01015","Berkeley Fire Department","2100 Martin Luther King Way","2ND FL","Berkeley","CA","94704","2100 Martin Luther King Way","2ND FL",,"Berkeley","CA","94704-1109","510-981-3473","510-981-5579","001","Career",,"https://www.cityofberkeley.info/fire/","7","127","0","0","13","0","Yes"
"04045","Berry Creek Rancheria Volunteer Fire Department","5 Tyme WAY",,"Oroville","CA","95966","5 Tyme WAY",,,"Oroville","CA","95966","530-534-3859","530-534-1151","007","Volunteer",,,"1","0","20","0","0","2",
"19025","Beverly Hills Fire Department","445 N Rexford DR",,"Beverly Hills","CA","90210-4857","445 N Rexford DR",,,"Beverly Hills","CA","90210-4857","310-281-2700","310-278-2449","037","Career",,"http://www.beverlyhills.org/departments/firedepartment","3","87","0","0","16","0","No"
"36040","Big Bear City Fire Department","301 W Big Bear BLVD",,"Big Bear City","CA","92314",,,"PO Box 3028","Big Bear City","CA","92314-3028","909-585-2362","909-585-0348","071","Mostly career",,"https://www.bigbearcityfire.org/","2","25","0","20","4","0","Yes"
"36045","Big Bear Fire Authority","41090 Big Bear BLVD","PO Box 2830","Big Bear Lake","CA","92315",,,"PO Box 2830","Big Bear Lake","CA","92315-2830","909-866-7566","909-866-8288","071","Mostly career",,"http://www.bigbearfire.org/","5","43","0","13","12","0","Yes"
"45970","Big Bend Volunteer Fire Company 70","25035 Big Bend RD",,"Big Bend","CA","96011-0146",,,"PO Box 146","Big Bend","CA","96011-0146","530-337-6555",,"089","Volunteer",,,"1","0","7","0","0","1",
"10110","Big Creek Volunteer Fire Department","551121 Point RD",,"Big Creek","CA","93605",,,"PO Box 159","Big Creek","CA","93605-0159","000-000-0000",,"019","Volunteer",,,"1","0","6","0","0","0",
"14005","Big Pine Fire Department","181 N Main ST",,"Big Pine","CA","93513",,,"PO Box 382","Big Pine","CA","93513-0382","760-938-2600","760-938-2444","027","Volunteer",,,"1","0","35","0","0","1","Yes"
"27900","Big Sur Volunteer Fire Brigade","HWY 1",,"Big Sur","CA","93920","HWY 1",,"PO Box 520","Big Sur","CA","93920","831-667-2113","831-667-0299","053","Volunteer",,,"3","0","48","0","0","3",
"18010","Big Valley Fire Protection District/ Bieber Fire Department","Market and Park ST",,"Bieber","CA","96009",,,"PO Box 81","Bieber","CA","96009-0081","530-294-5720",,"035","Volunteer",,,"1","0","10","0","1","2","No"
"14015","Bishop Fire Department","209 W Line ST",,"Bishop","CA","93514",,,"PO Box 1236","Bishop","CA","93515-1236","760-873-5485","760-872-9321","027","Mostly volunteer",,,"3","1","35","0","1","0","No"
"12025","Blue Lake Volunteer Fire Department","111 1st AVE","PO Box 245","Blue Lake","CA","95525",,,"PO Box 245","Blue Lake","CA","95525-0245","707-668-5765","707-668-5844","023","Mostly volunteer",,,"1","1","17","0","1","0","Yes"
"49010","Bodega Bay Fire Protection District","510 Highway 1",,"Bodega Bay","CA","94923",,,"PO Box 6","Bodega Bay","CA","94923-0006","707-875-3700","707-875-2660","097","Mostly career",,"https://www.bbfpd.org/","1","13","5","0","1","6","No"
"49005","Bodega Volunteer Fire Department","17184 Bodega HWY",,"Bodega","CA","94922",,,"PO Box 28","Bodega","CA","94922-0028","707-484-2413","707-876-9438","097","Volunteer",,,"2","0","15","0","0","10",
"19605","Boeing Fire Department, Long Beach Div","2401 E Wardlow RD","MC C055-0020","Long Beach","CA","90807","2401 E Wardlow RD","MC C055-0020",,"Long Beach","CA","90807-5309","562-593-6176","562-593-5155","037","Career",,,"1","27","0","0","5","0","No"
"21010","Bolinas Fire Protection District","100 Mesa RD","PO Box 126","Bolinas","CA","94924",,,"PO Box 126","Bolinas","CA","94924-0126","415-868-1566","415-868-2009","041","Mostly volunteer",,"https://www.bolinasfire.org","1","2","20","2","1","5","Yes"
"37010","Bonita Sunnyside Fire Protection District","4900 Bonita RD",,"Bonita","CA","91902-1725","4900 Bonita RD",,,"Bonita","CA","91902-1725","619-479-2346","619-479-2393","073","Career",,"https://www.bonitafd.org/","1","12","0","0","2","0","Yes"
"37015","Borrego Springs Fire Protection District","2324 Stirrup RD",,"Borrego Springs","CA","92004",,,"PO Box 9","Borrego Springs","CA","92004-0009","760-767-5436","760-767-5193","073","Career",,"http://www.borrego-fire.org/","1","13","0","0","1","0","No"
"44020","Boulder Creek Fire Protection District","13230 Central AVE",,"Boulder Creek","CA","95006-9125","13230 Central AVE",,,"Boulder Creek","CA","95006-9125","831-338-7222","831-338-7226","087","Mostly volunteer",,"https://bcfd.com/","2","1","0","40","1","0","Yes"
"44060","Branciforte Fire Protection District","2711 Branciforte DR",,"Santa Cruz","CA","95065-9731","2711 Branciforte DR",,,"Santa Cruz","CA","95065-9731","831-423-8856","831-423-8859","087","Mostly volunteer",,,"1","4","0","18","1","1",
"30010","Brea Fire Department","1 Civic Center CIR","","Brea","CA","92821-5732","1 Civic Center CIR","","PO Box ","Brea","CA","92821-5732","714-990-7655","714-671-3691","059","Mostly career",,"https://ci.brea.ca.us","4","46","0","24","6","0",
"26010","Bridgeport Fire Protection District","309 Main ST",,"Bridgeport","CA","93517-0375",,,"PO Box 375","Bridgeport","CA","93517-0375","760-932-7353","760-932-7353","051","Volunteer",,,"2","0","20","0","0","1",
"12195","Bridgeville Volunteer Fire Department","38717 Kneeland RD",,"Bridgeville","CA","95526",,,"PO Box 51","Bridgeville","CA","95526-0051","707-777-3424",,"023","Volunteer",,,"1","0","9","0","0","1","Yes"
"23011","Brooktrails Township Fire Department","24860 Birch ST",,"Willits","CA","95490-9475","24860 Birch ST",,,"Willits","CA","95490-9475","707-459-4441","707-459-1517","045","Mostly volunteer",,"https://www.btcsd.org/","2","2","0","20","0","2","Yes"
"32080","Bucks Lake Fire Department","16891 Bucks Lake RD",,"Quincy","CA","95971",,,"PO Box 1584","Quincy","CA","95971","530-283-2947","530-283-2947","063","Volunteer",,,"1","0","10","0","0","2",
"50045","Burbank Paradise Fire District","1313 Beverly DR",,"Modesto","CA","95351-2313","1313 Beverly DR",,,"Modesto","CA","95351-2313","209-523-1129","209-523-0283","099","Mostly volunteer",,"http://bpfire.com/","1","3","40","0","4","5","Yes"
"45020","Burney Fire Protection District","37072 Main ST",,"Burney","CA","96013","37072 Main ST",,,"Burney","CA","96013-4126","530-335-2212","530-335-2235","089","Mostly volunteer",,"https://www.burneyfire.org/","2","2","0","18","8","4","Yes"
"04035","Butte County Fire Department","176 Nelson AVE",,"Oroville","CA","95965-3425","176 Nelson AVE",,,"Oroville","CA","95965-3425","530-538-7111","530-538-7401","007","Mostly career",,"https://www.buttecounty.net/fire/Home.aspx","38","259","0","151","16","5","Yes"
,"Butte Creek Canyon Volunteer Fire Company 26","1726 Honeyrun RD","PO Box 3171","Chico","CA","95928","1726 Honeyrun RD",,"PO Box 3171","Chico","CA","95928","530-898-1726",,"007","Volunteer",,,"2","0","8","0","0","0",
"47045","Butte Valley Fire Protection District","12320 Old State HWY","PO Box 103","Macdoel","CA","96058",,,"PO Box 103","Macdoel","CA","96058-0103","530-398-4332",,"093","Mostly volunteer",,"https://www.buttevalleyfire.org/","1","1","12","0","0","7","Yes"
"07115","C & H Sugar Company Fire Department","830 Loring AVE",,"Crockett","CA","94525","830 Loring AVE",,,"Crockett","CA","94525","510-787-4417","510-787-2158","013","Mostly volunteer",,,"1","1","0","57","0","0",
"32008","C Road Volunteer Fire Department","C road & Road 9","PO Box 344","Blairsden","CA","96103-0344",,,"PO Box 344","Blairsden","CA","96103-0344","530-836-0288",,"063","Volunteer",,,"1","0","8","0","0","0",
"00555","CA Department of Forestry and Fire Protection- HQ","1416 Ninth ST",,"Sacramento","CA","95814",,,"PO Box 2460","Sacramento","CA","94244-2460","916-653-7772","916-653-8961","067","Career",,"https://www.fire.ca.gov","268","3800","0","0","1400","600",
,"CA Office of Emergency Services North County Rescue","127 1/2 W 66TH ST",,"Los Angeles","CA","90003-1810","127 1/2 W 66TH ST",,,"Los Angeles","CA","90003-1810","213-392-1136",,"037","Mostly career",,,"2","43","5","0","3","5","No"
"33021","Cabazon Tribal Fire Department","84245 Indio Springs  PKWY",,"Indio","CA","92203","84245 Indio Springs  PKWY",,,"Indio","CA","92203","760-342-1251","760-342-1406","065","Career",,,"1","8","0","0","0","0",
"27905","Cachagua Fire Protection District","37200 Nason RD","PO Box 2090","Carmel Valley","CA","93924-2090",,,"PO Box 2090","Carmel Valley","CA","93924-2090","831-659-7700","831-659-7700","053","Volunteer",,"https://www.cachaguafire.com","2","0","4","12","0","4","Yes"
"33555","Cal Fire - Riverside County Fire Department","210 W San Jacinto AVE",,"Perris","CA","92570","210 W San Jacinto AVE",,,"Perris","CA","92570","951-940-6900","951-940-6373","065","Mostly career",,"https://www.rvcfire.org/","91","1200","300","0","250","250",
"40035","CAL FIRE/San Luis Obispo County Fire Station #15- South Bay","2315 Bayview Heights DR",,"Los Osos","CA","93402-3915","2315 Bayview Heights DR",,,"Los Osos","CA","93402-3915","805-528-1053","805-528-3164","079","Mostly volunteer",,"https://calfireslo.org/","1","8","0","25","1","15","Yes"
"05065","Calaveras County Fire & Emergency Services","891 Mountain Ranch RD",,"San Andreas","CA","95249","891 Mountain Ranch RD",,,"San Andreas","CA","95249","209-754-6639","209-754-6641","009","Career",,"http://co.calaveras.ca.us.gov","1","3","0","0","1","0",
"13010","Calexico Fire Department","2237 A Tirado AVE",,"Calexico","CA","92231-3953","2237 A Tirado AVE",,,"Calexico","CA","92231-3953","760-791-7755",,"025","Career",,,"2","24","0","0","1","0","Yes"
"15065","California City Fire Department","20890 Hacienda BLVD",,"California City","CA","93505-2800","20890 Hacienda BLVD",,,"California City","CA","93505-2800","760-373-4841","760-373-1305","029","Career",,"https://www.calcityfire.com/","2","13","0","0","3","7","Yes"
"18410","California Correctional Center Fire Department","711-045 Center RD","PO Box 220","Susanville","CA","96130","711-045 Center RD",,"PO Box 220","Susanville","CA","96130","530-257-2181","530-252-3044","035","Career",,,"1","22","0","0","0","0",
"15410","California Correctional Institute","Hwy 202","PO Box 1031","Tehachapi","CA","93561","Hwy 202","PO Box 1031",,"Tehachapi","CA","93561","661-822-4402","661-823-5021","029","Mostly volunteer",,,"1","6","8","0","0","0",
"47557","California Department of Forestry","118 Fortuna BLVD",,"Fortuna","CA","95540","118 Fortuna BLVD",,,"Fortuna","CA","95540","707-725-4413","707-726-1240","023","Career",,"https://www.fire.ca.gov","16","200","0","0","25","25",
"37555","California Department of Forestry and Fire Protection","2249 Jamacha  RD",,"El Cajon","CA","92019-4301","2249 Jamacha  RD",,,"El Cajon","CA","92019-4301","619-590-3100","619-590-3106","073","Career",,,"25","300","0","0","12","0",
"23555","California Department of Forestry and Fire Protection","17501 N Highway 101 HWY",,"Willits","CA","95490","17501 N Highway 101 HWY",,,"Willits","CA","95490","707-459-7414","707-459-3041","045","Career",,,"10","100","0","0","15","0",
"27555","California Forestry","2221 Garden RD",,"Monterey","CA","93940","2221 Garden RD",,,"Monterey","CA","93940","831-333-2600","831-333-2660","053","Mostly volunteer",,,"15","132","80","80","10","0",
"36415","California Institution For Women Fire Department","16756 Chino-Corona RD","PO Box 6000","Corona","CA","92878","16756 Chino-Corona RD",,"PO Box 6000","Corona","CA","92878","909-597-1771","909-606-4943","065","Mostly volunteer",,,"1","5","0","6","0","0",
"48410","California Medical Facility / CSP Solano Fire Department","1600 California DR","PO Box 2000","Vacaville","CA","95696",,,"PO Box 2000","Vacaville","CA","95696-2000","707-449-6540","707-469-6004","095","Mostly volunteer",,"https://www.cdcr.ca.gov/","1","6","8","0","3","0","No"
"25018","California Pines Volunteer Fire Department","Co Rd 71 HCR 4","PO Box 403002","Alturas","CA","96101","Co Rd 71 HCR 4",,"PO Box 403002","Alturas","CA","96101","530-283-1151","530-233-2766","049","Mostly volunteer",,,"2","1","12","0","0","0",
"33410","California Rehabilitation Center","5th ST & Western","PO Box 1841","Norco","CA","92860",,,"PO Box 1841","Norco","CA","92860-0991","951-273-2915","951-273-2304","065","Mostly volunteer",,,"1","5","0","9","1","0","No"
"19495","California State Prison-Los Angeles County -Fire Department","44750 60TH ST W",,"Lancaster","CA","93536-7619","44750 60TH ST W",,,"Lancaster","CA","93536-7619","661-729-2000","661-729-6903","037","Career",,,"1","2","0","0","1","0","No"
"33016","Calimesa Fire Service","PO Box 998",,"Banning","CA","92220","906 Park AVE",,"PO Box 998","Calimesa","CA","92320","909-795-1010",,"065","Mostly volunteer",,,"1","2","0","20","0","0",
"13015","Calipatria Fire Department","125 N Park AVE",,"Calipatria","CA","92233-9727","125 N Park AVE",,,"Calipatria","CA","92233-9727","760-348-4144","760-348-4147","025","Mostly volunteer",,,"1","2","0","14","0","0","Yes"
"28005","Calistoga Fire Department","1113 Washington ST",,"Calistoga","CA","94515","1232 Washington ST",,,"Calistoga","CA","94515-1440","707-942-2822","707-942-4863","055","Mostly volunteer",,"https://www.ci.calistoga.ca.us/Index.aspx?page=83","1","4","1","12","0","0","Yes"
,"Calpine Volunteer Fire Department","129 Canty RD","PO Box 141","Calpine","CA","96124","129 Canty RD",,"PO Box 141","Calpine","CA","96124","530-994-3941",,"091","Volunteer",,,"1","0","10","0","0","0",
"40020","Cambria Fire Department","2850 Burton DR",,"Cambria","CA","93428",,,"PO Box 65","Cambria","CA","93428-0065","805-927-6240","805-927-6242","079","Mostly volunteer",,"https://www.cambriacsd.org/cm/Home.html","1","7","0","18","0","0","Yes"
"09050","Cameron Park Fire Department","3200 Country Club DR",,"Cameron Park","CA","95682","3200 Country Club DR",,,"Cameron Park","CA","95682-8631","530-677-6190","530-672-2248","017","Mostly career",,"https://www.cameronpark.org/","2","21","20","0","3","1","Yes"
"49030","Camp Meeker Volunteeer Fire Company, Fire Division","5240 Bohemian HWY","PO Box 511","Camp Meeker","CA","95419-0511","5240 Bohemian HWY",,"PO Box 511","Camp Meeker","CA","95419-0511","707-874-3660","707-874-3660","097","Volunteer",,"https://www.campmeeker.org","1","0","18","0","0","0",
"A2001","Camp Parks Fire and Emergency Services","520 Mitchell DR",,"Dublin","CA","94568","520 Mitchell DR",,,"Dublin","CA","94568","925-897-4902","925-875-4904","001","Career",,,"1","19","0","0","0","0","Yes"
"37820","Camp Pendleton Fire Department","PO Box 555211",,"Camp Pendleton","CA","92055-5211",,,"PO Box 555211","Camp Pendleton","CA","92055-5211","760-763-2721",,"073","Career",,,"11","146","0","0","28","0",
"40790","Camp Roberts Fire Department","4050 SW Arizona BLVD",,"San Miguel","CA","93451","4050 SW Arizona BLVD",,,"San Miguel","CA","93451","805-238-8406",,"079","Career",,,"1","15","0","0","0","0","Yes"
"37024","Campo Reservation Fire Protection District","36210 Church RD",,"Campo","CA","91906-2713","36210 Church RD",,,"Campo","CA","91906-2713","619-478-9046","619-478-2867","073","Career",,"https://www.crfpd.info/","1","11","0","0","1","0","Yes"
